Rnk Team                           W-  L     RATE      SOS
1512 Penn St-Gtr Allegheny          2-  6   38.796   41.504 (1517)
1513 La Cit                         2-  8   38.788   42.635 (1493)
1514 Ohio U-Zanesville              0-  4   38.788   47.255 (1169)
1515 Williamson Trade               1-  3   38.691   42.575 (1495)
1516 Moody Bible                    0-  6   38.660   44.445 (1429)
1517 Trinity Baptist                1-  4   38.559   42.951 (1479)
1518 Maine Maritime                 2- 13   38.403   43.196 (1475)
1519 Red River                      3-  4   38.282   38.999 (1533)
1520 Clark St CC                    0-  4   38.271   46.445 (1288)
1521 Assiniboine CC                 3-  3   37.703   37.690 (1537)
1522 Wright St-Lake                 0-  3   37.497   44.867 (1408)
1523 Sault                          0- 10   37.484   44.439 (1430)
1524 Piedmont Int'l                 1-  6   37.369   41.792 (1512)
1525 Franciscan                     0- 14   37.156   44.141 (1441)
1526 Neb Coll of Tech Agr           0-  3   36.726   43.409 (1467)
1527 AFLBS                          0-  4   36.510   41.995 (1507)
1528 Culinary Institute             1-  3   36.476   40.154 (1527)
1529 Johnson U.                     1-  7   36.457   41.738 (1513)
1530 Emmaus Bible                   0-  6   36.360   44.504 (1424)
1531 Cambrian                       0- 10   36.297   42.884 (1482)
1532 Nova Scotia Ag Col             1- 11   35.990   42.524 (1496)
1533 Nashua CC                      1-  6   35.704   41.028 (1522)
1534 Providence MB                  1-  8   35.250   39.788 (1529)
1535 UNB-Saint John                 0- 10   35.010   42.335 (1500)
1536 Christendom                    1-  6   34.210   39.537 (1531)
1537 Unity                          0-  4   33.406   42.163 (1504)
1538 Pratt Institute                1-  1   33.209   34.876 (1541)
1539 Sarah Lawrence                 2-  2   33.102   36.471 (1539)
1540 Penn St-Lehigh Valley          0-  6   31.131   40.963 (1524)
1541 Hampshire                      0-  6   31.029   41.854 (1510)
1542 Washington Bible               0-  1   28.960   34.210 (1542)
1543 Webb Institute                 0-  4   28.038   33.972 (1543)
