Rank                                           Won  Lost  Tied    PF    PA   Rating
 452 Coll of Idaho                              14     4     0  1606  1390   52.456
 453 Malone                                      4     4     0   655   613   52.448
 454 Georgia Southern                            7     7     0  1061  1002   52.448
 455 Holy Family                                 8     4     0   830   760   52.433
 456 Colorado St-Pueblo                          6     4     0   847   778   52.430
 457 Hastings                                   12     3     0  1198  1059   52.428
 458 Vanguard                                   13     3     0  1309  1069   52.398
 459 Rollins                                     6     4     0   685   594   52.376
 460 Bemidji St                                  7     3     0   821   675   52.366
 461 UW-Parkside                                 7     3     0   853   718   52.366
 462 New Jersey Tech                             6     9     0  1046  1104   52.363
 463 Alabama A&M                                 3     7     0   624   724   52.360
 464 Arkansas-Pine Bluff                         2     9     0   665   855   52.331
 465 Seton Hill                                  8     3     0   832   759   52.312
 466 Mount Olive                                 7     5     0   899   866   52.311
 467 Nicholls St                                 3     6     0   595   690   52.288
 468 UC-Davis                                    4     9     0   928  1026   52.243
 469 St Mary's MD                                6     3     0   616   594   52.225
 470 Henderson St                                5     6     0   830   816   52.222
 471 Azusa Pacific                               6     4     0   752   708   52.177
 472 Army                                        3     7     0   736   783   52.173
 473 Mississippi Valley St                       3     9     0   900  1054   52.159
 474 Samford                                     5     9     0   969  1100   52.118
 475 Davenport                                  12     3     0  1203   968   52.112
 476 Prairie View A&M                            2    10     0   830  1047   52.098
 477 IU Southeast                                7     3     0   943   802   52.093
 478 Whitworth                                   5     3     0   588   553   52.058
 479 Lincoln PA                                  7     2     0   664   618   52.046
 480 SE Oklahoma St                              4     3     0   485   483   52.024
 481 SW Baptist                                  8     5     0  1155  1081   52.022
 482 Babson                                      7     2     0   697   565   52.019
 483 Marietta                                    8     2     0   852   740   52.002
 484 Wayne St MI                                 5     2     0   524   490   51.957
 485 IUPUI                                       4    12     0  1090  1166   51.943
 486 Indiana Wesleyan                           12     3     0  1306  1135   51.939
 487 William Paterson                            8     2     0   836   695   51.919
 488 Victoria                                   10     3     0   947   806   51.903
 489 Scranton                                    7     2     0   722   664   51.881
 490 Kentucky Wesleyan                           7     6     0  1075   958   51.879
 491 Juniata                                     8     2     0   715   656   51.870
 492 Middlebury                                  4     2     0   503   485   51.870
 493 Col-Colorado Springs                        7     4     0   911   866   51.861
 494 Hope Int'l                                 12     4     0  1270   948   51.844
 495 St Thomas FL                               10     3     0  1062   948   51.837
 496 BYU-Hawai`i                                 4     5     0   755   710   51.831
 497 Wittenberg                                 10     2     0   947   771   51.824
 498 Georgetown KY                              10     2     0  1223  1009   51.821
 499 Limestone                                   9     4     0  1007   927   51.814
 500 North Carolina A&T                          4    10     0   942  1013   51.814
 501 Chattanooga                                 5     8     0  1016   995   51.813
 502 CSU-Dominguez Hills                         4     8     0   794   877   51.799
 503 Eastern Illinois                            4     8     0   728   838   51.792
 504 LIU-C.W. Post                               7     3     0   807   770   51.781
 505 New Mexico Highlands                        6     4     0   793   834   51.773
 506 Southern Utah                               2     8     0   579   755   51.770
 507 Amherst                                     7     1     0   733   590   51.766
 508 Mid-America Christian                       8     4     0  1130  1029   51.719
 509 Saskatchewan                                9     1     0   875   738   51.716
 510 Glenville St                                5     3     0   670   666   51.716
 511 Rogers St                                   7     4     0   901   824   51.716
 512 Muhlenberg                                  8     2     0   802   677   51.677
 513 Bellevue                                   10     3     0  1095   950   51.676
 514 CSU-East Bay                                5     5     0   798   793   51.670
 515 Birmingham-Southern                         7     2     0   685   591   51.661
 516 Cameron                                     5     7     0   865   869   51.654
 517 St Norbert                                  7     1     0   678   573   51.651
 518 Ryerson                                     8     1     0   730   604   51.649
 519 Bethel IN                                  11     2     0  1198   912   51.641
 520 Randolph-Macon                              6     4     0   819   741   51.616
 521 Texas-Dallas                                6     1     0   511   430   51.611
 522 Mount Union                                 8     2     0   877   787   51.608
 523 Wayland Baptist                             9     2     0  1026   752   51.606
 524 WV Wesleyan                                 6     6     0   872   855   51.590
 525 Jacksonville FL                             4     7     0   799   883   51.589
 526 Marymount                                   7     2     0   681   596   51.580
 527 SW Oklahoma St                              4     5     0   600   674   51.577
 528 U Sciences Phila                            7     4     0   722   693   51.564
 529 Wiley                                       9     2     0   909   794   51.556
 530 John Carroll                                8     2     0   914   796   51.554
 531 McMurry                                     6     4     0   771   746   51.552
 532 DePauw                                      6     4     0   679   628   51.544
 533 Cornerstone                                11     3     0  1205   990   51.530
 534 Upper Iowa                                  4     8     0   965  1037   51.529
 535 Gannon                                      6     5     0   728   674   51.500
 536 Hampden-Sydney                              6     3     0   658   611   51.497
 537 NW Oklahoma St                              5     5     0   649   702   51.478
 538 Newberry                                    8     3     0  1010   888   51.474
