Rank,Team,Won,Lost,Tied,PF,PA,Rating
419,AUGUSTANA (SD),7,8,0,1045,1043,101.451
420,LAFAYETTE,6,9,0,1035,1032,101.449
421,HAWAII PACIFIC,8,6,0,1007,964,101.445
422,SOUTHERN MISS.,6,9,0,1081,1147,101.434
423,SOUTHWESTERN OKLA.,7,4,0,752,765,101.423
424,AUGUSTANA (IL),8,4,0,887,803,101.417
425,PACIFIC,5,13,0,1279,1333,101.406
426,CARTHAGE,8,4,0,930,816,101.401
427,LOUISIANA,4,11,0,994,1147,101.396
428,LINDENWOOD,6,9,0,1085,1031,101.387
429,DENVER,6,11,0,1290,1367,101.375
430,HARDING,8,4,0,985,948,101.374
431,CAMPBELL,6,9,0,1051,1028,101.365
432,CORBAN,0,1,0,65,100,101.357
433,FAYETTEVILLE ST.,9,5,0,1039,971,101.345
434,EMBRY-RIDDLE (FL),10,3,0,1178,1100,101.320
435,BLACK HILLS ST.,7,5,0,924,814,101.302
436,JACKSON ST.,1,13,0,867,1152,101.301
437,CAL POLY POMONA,8,4,0,839,780,101.285
438,UC-COLO. SPRINGS,8,5,0,1008,985,101.276
439,CHAPMAN,10,3,0,984,878,101.271
440,USC AIKEN,8,4,0,1045,937,101.270
441,FAIRFIELD,5,9,0,977,1043,101.243
442,KEENE ST.,7,3,0,860,769,101.239
443,SAN DIEGO,4,12,0,1067,1173,101.231
444,TULSA,6,9,0,1120,1111,101.222
445,NEW ORLEANS,2,12,0,917,1195,101.221
446,LANDER,8,4,0,1012,897,101.218
447,UNC PEMBROKE,8,4,0,999,869,101.203
448,ARMY WEST POINT,6,8,0,1083,1073,101.199
449,GUSTAVUS ADOLPHUS,9,3,0,933,839,101.194
450,NEWMAN,9,4,0,1043,914,101.189
451,THOMAS MORE,10,3,0,969,829,101.184
452,VIRGINIA ST.,10,4,0,1142,994,101.179
453,LAKE ERIE,8,4,0,1097,936,101.163
454,VA. WESLEYAN,10,3,0,902,780,101.163
455,CALDWELL,9,4,0,940,950,101.146
456,CSU PUEBLO,8,4,0,898,774,101.138
457,FLORIDA A&M,3,9,0,840,974,101.138
458,GETTYSBURG,9,3,0,918,883,101.128
459,SOUTHERN N.H.,8,4,0,889,845,101.127
460,SAINT FRANCIS,5,11,0,1153,1203,101.095
461,UTAH TECH,4,11,0,1068,1152,101.076
462,BRANDEIS,9,2,0,977,795,101.067
463,CENTRAL OKLA.,8,5,0,1067,914,101.049
464,HAWAII HILO,9,6,0,1189,1025,101.039
465,ST. THOMAS AQUINAS,9,6,0,1283,1256,101.035
466,UT MARTIN,6,9,0,1141,1039,101.029
467,NEB. WESLEYAN,9,3,0,861,801,101.017
468,HENDERSON ST.,9,3,0,965,881,101.011
